epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
62,14614.9,0.92225,0.86905,1.17239,0.70557,0.54405,0.634,0.4265,1.12568,24.0289,1.17452,0.000337325,0.000337325,0.000337325
63,14850.1,0.91692,0.85964,1.16833,0.70569,0.54311,0.63443,0.42661,1.12671,24.008,1.17486,0.000322778,0.000322778,0.000322778
64,15084.8,0.91333,0.85476,1.16563,0.70581,0.54285,0.63451,0.42651,1.1275,24.0009,1.17566,0.000308412,0.000308412,0.000308412
65,15319.6,0.91442,0.85186,1.16524,0.70139,0.54777,0.63358,0.42569,1.12826,24.0018,1.17644,0.000294239,0.000294239,0.000294239
66,15554.6,0.90917,0.8479,1.16275,0.70025,0.54831,0.63351,0.42559,1.12977,24.0395,1.17791,0.000280275,0.000280275,0.000280275
67,15789.6,0.90572,0.84602,1.16228,0.70177,0.54488,0.63261,0.42531,1.13063,24.0624,1.1786,0.000266532,0.000266532,0.000266532
68,16024.6,0.90737,0.84557,1.16028,0.70583,0.5433,0.63203,0.42515,1.13117,24.0441,1.1792,0.000253024,0.000253024,0.000253024
69,16259.7,0.90285,0.84091,1.15743,0.70248,0.54415,0.63146,0.42461,1.13177,24.0408,1.17936,0.000239766,0.000239766,0.000239766
70,16494.5,0.90462,0.8394,1.15879,0.70478,0.54357,0.63104,0.4244,1.1325,24.0443,1.18022,0.000226769,0.000226769,0.000226769
71,16729.2,0.89752,0.83484,1.15399,0.7081,0.53897,0.63086,0.42406,1.13332,24.042,1.18061,0.000214046,0.000214046,0.000214046
72,16964.2,0.89885,0.8327,1.15543,0.70803,0.5387,0.63086,0.42359,1.13324,24.043,1.18009,0.000201611,0.000201611,0.000201611
