epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
45,6715.34,0.86592,0.62105,1.09297,0.83671,0.92676,0.93477,0.61069,1.01908,1.88934,1.17131,0.0179326,0.00597754,0.0179326,0.00597754,0.0179326,0.00597754,0.0179326,0.00597754
46,6863.51,0.87051,0.6091,1.09464,0.83792,0.92691,0.93489,0.6118,1.01816,1.91217,1.17194,0.0174731,0.00582435,0.0174731,0.00582435,0.0174731,0.00582435,0.0174731,0.00582435
47,7011.62,0.86032,0.60683,1.09193,0.83742,0.91997,0.93736,0.61181,1.01799,1.91052,1.17289,0.0170112,0.0056704,0.0170112,0.0056704,0.0170112,0.0056704,0.0170112,0.0056704
48,7159.81,0.85125,0.60082,1.08439,0.8356,0.92511,0.93621,0.6102,1.017,1.90926,1.17315,0.0165475,0.00551584,0.0165475,0.00551584,0.0165475,0.00551584,0.0165475,0.00551584
49,7307.96,0.85376,0.60186,1.08636,0.8359,0.92317,0.93193,0.61205,1.01578,1.91395,1.17211,0.0160824,0.00536081,0.0160824,0.00536081,0.0160824,0.00536081,0.0160824,0.00536081
50,7456.27,0.8492,0.59753,1.08642,0.83661,0.93196,0.93399,0.61316,1.0143,1.92711,1.17191,0.0156164,0.00520548,0.0156164,0.00520548,0.0156164,0.00520548,0.0156164,0.00520548
51,7604.29,0.83592,0.59003,1.07935,0.83721,0.9245,0.93713,0.61416,1.01411,1.93056,1.17235,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,7752.51,0.83504,0.5822,1.07441,0.84089,0.92483,0.93773,0.6137,1.013,1.92814,1.1722,0.0146836,0.00489452,0.0146836,0.00489452,0.0146836,0.00489452,0.0146836,0.00489452
53,7900.66,0.82446,0.58089,1.06745,0.83994,0.92285,0.93535,0.61169,1.01369,1.92046,1.17242,0.0142176,0.00473919,0.0142176,0.00473919,0.0142176,0.00473919,0.0142176,0.00473919
54,8048.74,0.82721,0.57898,1.07159,0.83867,0.92482,0.9361,0.61078,1.01349,1.92181,1.17211,0.0137525,0.00458416,0.0137525,0.00458416,0.0137525,0.00458416,0.0137525,0.00458416
55,8197.05,0.8209,0.57389,1.06881,0.84161,0.92334,0.93494,0.60933,1.01386,1.91677,1.172,0.0132888,0.0044296,0.0132888,0.0044296,0.0132888,0.0044296,0.0132888,0.0044296
56,8345.08,0.80604,0.56914,1.06045,0.84015,0.92164,0.93457,0.60818,1.01322,1.91901,1.17068,0.0128269,0.00427565,0.0128269,0.00427565,0.0128269,0.00427565,0.0128269,0.00427565
57,8493.3,0.80131,0.56408,1.05883,0.84091,0.9227,0.93494,0.60972,1.01301,1.90708,1.1708,0.0123674,0.00412246,0.0123674,0.00412246,0.0123674,0.00412246,0.0123674,0.00412246
58,8641.36,0.8028,0.5618,1.06238,0.83841,0.92088,0.93476,0.60888,1.01219,1.89887,1.16997,0.0119106,0.00397019,0.0119106,0.00397019,0.0119106,0.00397019,0.0119106,0.00397019
59,8789.5,0.79147,0.55845,1.0571,0.83937,0.92017,0.93384,0.60958,1.01234,1.90166,1.17038,0.011457,0.00381899,0.011457,0.00381899,0.011457,0.00381899,0.011457,0.00381899
60,8937.68,0.78829,0.56047,1.05238,0.83845,0.91971,0.9335,0.60994,1.01113,1.89577,1.16975,0.011007,0.00366899,0.011007,0.00366899,0.011007,0.00366899,0.011007,0.00366899
61,9086.27,0.78041,0.54768,1.04806,0.8376,0.91965,0.93385,0.60987,1.01072,1.89796,1.16939,0.0105611,0.00352037,0.0105611,0.00352037,0.0105611,0.00352037,0.0105611,0.00352037
62,9234.57,0.77655,0.5476,1.04503,0.83593,0.91912,0.93306,0.60832,1.01105,1.90918,1.16998,0.0101197,0.00337325,0.0101197,0.00337325,0.0101197,0.00337325,0.0101197,0.00337325
63,9382.71,0.76845,0.54694,1.04241,0.83334,0.91681,0.93229,0.60988,1.01136,1.92004,1.17039,0.00968335,0.00322778,0.00968335,0.00322778,0.00968335,0.00322778,0.00968335,0.00322778
64,9530.94,0.76454,0.53932,1.04035,0.84445,0.9162,0.93435,0.60987,1.01111,1.92233,1.1706,0.00925235,0.00308412,0.00925235,0.00308412,0.00925235,0.00308412,0.00925235,0.00308412
65,9679.4,0.76184,0.53723,1.0407,0.8403,0.91575,0.93398,0.6089,1.01097,1.92022,1.1709,0.00882718,0.00294239,0.00882718,0.00294239,0.00882718,0.00294239,0.00882718,0.00294239
66,9827.48,0.74818,0.53028,1.03323,0.84035,0.91344,0.93333,0.60927,1.01079,1.91711,1.17114,0.00840824,0.00280275,0.00840824,0.00280275,0.00840824,0.00280275,0.00840824,0.00280275
67,9975.79,0.7465,0.52691,1.03232,0.84279,0.91344,0.93342,0.60866,1.01006,1.92091,1.17106,0.00799596,0.00266532,0.00799596,0.00266532,0.00799596,0.00266532,0.00799596,0.00266532
68,10124,0.74023,0.52327,1.03241,0.84007,0.91411,0.93189,0.60784,1.01066,1.92682,1.17161,0.00759073,0.00253024,0.00759073,0.00253024,0.00759073,0.00253024,0.00759073,0.00253024
69,10272.2,0.73425,0.52103,1.02831,0.83794,0.91344,0.93099,0.60742,1.01116,1.92551,1.17184,0.00719297,0.00239766,0.00719297,0.00239766,0.00719297,0.00239766,0.00719297,0.00239766
70,10420.5,0.72692,0.51448,1.02145,0.84792,0.91366,0.93246,0.60595,1.01026,1.91516,1.17108,0.00680306,0.00226769,0.00680306,0.00226769,0.00680306,0.00226769,0.00680306,0.00226769
71,10568.6,0.72229,0.51034,1.02101,0.84927,0.91272,0.93132,0.60758,1.01064,1.91015,1.17178,0.00642139,0.00214046,0.00642139,0.00214046,0.00642139,0.00214046,0.00642139,0.00214046
72,10716.9,0.71658,0.50848,1.01591,0.84944,0.91133,0.931,0.60546,1.01031,1.90674,1.1706,0.00604833,0.00201611,0.00604833,0.00201611,0.00604833,0.00201611,0.00604833,0.00201611
73,10865.1,0.71293,0.50722,1.01801,0.84992,0.9117,0.928,0.60599,1.01034,1.90632,1.17053,0.00568425,0.00189475,0.00568425,0.00189475,0.00568425,0.00189475,0.00568425,0.00189475
74,11013.4,0.70686,0.49943,1.0123,0.8473,0.91133,0.92692,0.60595,1.00962,1.90967,1.16845,0.00532952,0.00177651,0.00532952,0.00177651,0.00532952,0.00177651,0.00532952,0.00177651
75,11161.7,0.69912,0.49688,1.00828,0.84933,0.91028,0.92988,0.60619,1.00937,1.90693,1.16697,0.00498448,0.00166149,0.00498448,0.00166149,0.00498448,0.00166149,0.00498448,0.00166149
76,11310.1,0.69223,0.49601,1.00856,0.84959,0.90743,0.92969,0.60675,1.00868,1.9072,1.16518,0.00464946,0.00154982,0.00464946,0.00154982,0.00464946,0.00154982,0.00464946,0.00154982
77,11458.2,0.68532,0.49228,1.00561,0.84662,0.90743,0.92707,0.60624,1.00815,1.90483,1.16432,0.00432482,0.00144161,0.00432482,0.00144161,0.00432482,0.00144161,0.00432482,0.00144161
78,11606.3,0.6813,0.48312,1.00303,0.85161,0.90691,0.92625,0.60583,1.00772,1.90441,1.16384,0.00401085,0.00133695,0.00401085,0.00133695,0.00401085,0.00133695,0.00401085,0.00133695
79,11754.5,0.67618,0.48425,0.9992,0.85165,0.90407,0.92664,0.60589,1.00773,1.89051,1.16327,0.00370788,0.00123596,0.00370788,0.00123596,0.00370788,0.00123596,0.00370788,0.00123596
80,11902.5,0.67057,0.47734,0.99564,0.84849,0.90085,0.91987,0.60465,1.00859,1.8777,1.16338,0.0034162,0.00113873,0.0034162,0.00113873,0.0034162,0.00113873,0.0034162,0.00113873
81,12050.8,0.6664,0.47994,0.99699,0.84889,0.90025,0.92056,0.60584,1.00748,1.87413,1.16187,0.0031361,0.00104537,0.0031361,0.00104537,0.0031361,0.00104537,0.0031361,0.00104537
